J000	KMS-11
J330	glomerular endothelial cell female embryo (22 weeks) and male embryo (22 weeks)
J331	DND-41
J332	olfactory neurosphere cell line
J333	muscle of leg male embryo (97 days)
J334	H4
J335	limb embryo (58 days) and embryo (59 days)
J336	fibroblast of dermis female adult (44 years) and female adult (55 years)
J337	stomach female adult (51 year)
J338	ascending aorta female adult (51 year)
J339	spleen male adult (37 years)
J340	gastroesophageal sphincter male adult (54 years)
J341	endocrine pancreas male adult (45 years)
J342	frontal cortex female embryo (20 weeks) and male embryo (22 weeks)
J343	kidney embryo (59 days) and female embryo (59 days)
J344	MCF-7 nuclear fraction
J345	BJ
J346	area 11 of Brodmann male adult (53 years)
J347	placental epithelial cell female newborn and male newborn
J348	gastroesophageal sphincter female adult (53 years)
J349	SK-MEL-5 nuclear fraction
J350	heart left ventricle female adult (51 year)
J351	pancreas male adult (34 years)
J352	GM06990
J353	GM12864
J354	stomach female embryo
J355	suprapubic skin female adult (51 year)
J356	body of pancreas female adult (51 year)
J357	GM12873
J358	GM12878 nucleolus fraction
J359	occipital lobe female embryo (20 weeks) and male embryo (22 weeks)
J360	endothelial cell of umbilical vein newborn
J361	heart female embryo (147 days)
J362	smooth muscle cell of the coronary artery female adult (53 years) and male adult (55 years)
J363	muscle of leg female embryo (85 days)
J364	omental fat pad female adult (51 year)
J365	CD8-positive, alpha-beta T cell
J366	mammary epithelial cell female adult (23 years)
J367	chorionic villus embryo (16 weeks)
J368	B cell male adult (21 year)
J369	stomach male adult (34 years)
J370	gastrocnemius medialis male adult (54 years)
J371	SK-N-DZ nuclear fraction
J372	upper lobe of left lung female adult (51 year)
J373	adipose tissue female adult (63 years)
J374	T-cell
J375	coronary artery female adult (51 year)
J376	A549 treated with 5 nM dexamethasone for 1 hour
J377	hepatocyte
J378	kidney epithelial cell
J379	upper lobe of left lung male adult (37 years)
J380	urinary bladder male adult (34 years)
J381	subcutaneous preadipocyte female adult (62 years) and male adult (65 years)
J382	chorionic villus female embryo (40 weeks)
J383	fibroblast of dermis female adult
J384	endometrial microvascular endothelial cells female adult (34 years)
J385	K562 nucleolus fraction
J386	thymus female embryo (105 days)
J387	tibial nerve male adult (37 years)
J388	renal pelvis male embryo (127 days)
J389	kidney female embryo (120 days)
J390	spleen male adult (34 years)
J391	HeLa-S3 cytosolic fraction
J392	CD8-positive, alpha-beta T cell male adult (21 year)
J393	kidney male adult (41 year)
J394	iPS DF 6.9 male newborn
J395	small intestine male adult (34 years)
J396	placenta female embryo (113 days)
J397	epidermal melanocyte
J398	fibroblast of villous mesenchyme
J399	T-helper 1 cell male adult (33 years)
J400	HepG2 cytosolic fraction
J401	spleen male adult (54 years)
J402	prostate gland male adult (54 years)
J403	substantia nigra male adult (81 year)
J404	right atrium auricular region female adult (51 year)
J405	large intestine female embryo (91 day)
J406	chorionic villus male embryo (16 weeks)
J407	T-cell male adult (21 year)
J408	insula male adult (53 years)
J409	WI38 genetically modified using stable transfection treated with 20 nM afimoxifene for 72 hours
J410	adrenal gland female embryo (85 days)
J411	stomach male adult (54 years)
J412	eye female embryo (76 days)
J413	NCI-H460 nuclear fraction
J414	nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa female adult (70 years) and male adult (46 years)
J415	adrenal gland male adult (54 years)
J416	ES-I3
J417	sigmoid colon male adult (21 year)
J418	SK-MEL-5
J419	gastrocnemius medialis female adult (51 year)
J420	K562 insoluble cytoplasmic fraction
J421	breast epithelium female adult (51 year)
J422	AG10803
J423	lung embryo (80 days) and male embryo (76 days)
J424	A549 treated with 0.02% ethanol for 1 hour
J425	spinal cord female embryo (108 days)
J426	renal cortex interstitium male embryo (108 days)
J427	middle frontal gyrus male adult (78 years)
J428	fibroblast of breast female adult (26 years)
J429	medulla oblongata male adult (78 years) and male adult (84 years)
J430	temporal lobe female embryo (20 weeks) and female embryo (24 weeks)
J431	LNCAP
J432	GM23248
J433	muscle of arm embryo (101 day)
J434	placental basal plate male embryo (38 weeks)
J435	thyroid gland male adult (54 years)
J436	cardiac mesoderm
J437	MCF-7 genetically modified using RNAi
J438	GM12875
J439	hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)
J440	small intestine male child (3 years)
J441	brain embryo (56 days) and male embryo (58 days)
J442	MCF-7 cytosolic fraction
J443	cerebellum male adult (27 years) and male adult (35 years)
J444	CD14-positive monocyte male adult (37 years)
J445	suprapubic skin male adult (37 years)
J446	H7-hESC
J447	mesenchymal stem cell originated from H1-hESC
J448	body of pancreas female adult (53 years)
J449	skeletal muscle tissue female embryo (19 weeks) and male embryo (22 weeks)
J450	transverse colon female adult (51 year)
J451	lung male embryo (108 days)
J452	AG04450
J453	cingulate gyrus female adult (75 years)
J454	placenta female embryo (105 days)
J455	hindlimb muscle male embryo (120 days)
J456	fibroblast of lung
J457	skeletal muscle tissue male adult (54 years)
J458	spleen female adult (20 years) and female adult (30 years)
J459	placenta female embryo (85 days)
J460	right renal pelvis male embryo (120 days)
J461	trophoblast cell male embryo originated from H1-hESC
J462	muscle of leg male embryo (115 days)
J463	muscle layer of colon female adult (56 years)
J464	HT1080 cytosolic fraction
J465	cingulate gyrus male adult (81 year)
J466	gastroesophageal sphincter male adult (37 years)
J467	mucosa of rectum female adult (61 year)
J468	liver female child (4 years)
J469	UCSF-4
J470	NAMALWA
J471	HPDE6-E6E7
J472	CD8-positive, alpha-beta T cell female adult (33 years)
J473	MCF 10A treated with 1 μM tamoxifen for 6 hours
J474	HepG2 membrane fraction
J475	K562 treated with interferon alpha for 6 hours
J476	MCF 10A genetically modified using stable transfection treated with 1 μM afimoxifene for 12 hours
J477	stomach female embryo (96 days)
J478	mesenchymal stem cell of the bone marrow
J479	muscle of arm male embryo (115 days)
J480	neuron originated from H9
J481	mesodermal cell originated from HUES64
J482	endodermal cell originated from HUES64
J483	heart female adult (30 years)
J484	muscle of back male embryo (101 day)
J485	CD4-positive, CD25-positive, alpha-beta regulatory T cell
J486	peripheral blood mononuclear cell male adult (32 years)
J487	fibroblast of dermis NONE and female adult
J488	CD4-positive, alpha-beta T cell male adult (37 years)
J489	Caco-2
J490	astrocyte of the cerebellum
J491	CD4-positive, alpha-beta memory T cell
J492	Peyer's patch male adult (37 years)
J493	common myeloid progenitor, CD34-positive female adult (33 years)
J494	left kidney female embryo (110 days)
J495	skeletal muscle tissue female adult (72 years)
J496	spleen female adult (51 year)
J497	right lung female embryo (91 day)
J498	brain female embryo (105 days)
J499	muscle layer of colon female adult (77 years)
J500	HepG2 insoluble cytoplasmic fraction
J501	left cardiac atrium female embryo (101 day)
J502	peripheral blood mononuclear cell female adult (28 years)
J503	K562 chromatin fraction
J504	caudate nucleus male adult (81 year)
J505	left kidney male embryo (115 days)
J506	fibroblast of dermis
J507	tracheal epithelial cell male adult (21 year) and male adult (68 years)
J508	transverse colon male adult (54 years)
J509	hematopoietic multipotent progenitor cell treated with interleukin-3 for 15 days, kit ligand for 15 days, hydrocortisone succinate for 15 days, erythropoietin for 15 days
J510	effector memory CD4-positive, alpha-beta T cell
J511	HeLa-S3 G1b phase
J512	large intestine female embryo (103 days)
J513	endodermal cell
J514	mesenchymal stem cell of Wharton's jelly
J515	thymus female embryo (113 days)
J516	adipose tissue male adult (34 years)
J517	renal pelvis female embryo (103 days)
J518	myoepithelial cell of mammary gland female adult (36 years)
J519	sigmoid colon female adult (30 years)
J520	LoVo
J521	NT2/D1
J522	smooth muscle cell of the brain vasculature female
J523	brain female embryo (142 days)
J524	posterior cingulate cortex male adult (20 years)
J525	naive thymus-derived CD4-positive, alpha-beta T cell male adult (29 years)
J526	A549 treated with 500 pM dexamethasone for 1 hour
J527	endocrine pancreas male
J528	Ishikawa treated with 100 nM dexamethasone for 1 hour
J529	tibial artery male adult (37 years)
J530	mucosa of stomach male adult (59 years)
J531	naive thymus-derived CD4-positive, alpha-beta T cell
J532	angular gyrus female adult (75 years)
J533	subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)
J534	lower leg skin female adult (51 year)
J535	heart female embryo (110 days)
J536	trophoblast male embryo (38 weeks)
J537	adrenal gland female adult (51 year)
J538	right lung male embryo (115 days)
J539	large intestine male embryo (108 days)
J540	foreskin keratinocyte male newborn (2-4 days) treated with 1.2 mM calcium for 2.5 days
J541	pancreas female adult (30 years)
J542	T47D treated with 0.02% dimethyl sulfoxide for 1 hour
J543	cerebellum male embryo (20 weeks)
J544	small intestine male embryo (115 days)
J545	liver female embryo (20 weeks)
J546	testis male adult (54 years)
J547	aorta female adult (30 years)
J548	suprapubic skin female adult (53 years)
J549	subcutaneous abdominal adipose tissue nuclear fraction female adult (59 years)
J550	tibial artery male adult (54 years)
J551	mammary epithelial cell female adult (17 years)
J552	heart embryo (96 days)
J553	thoracic aorta male adult (37 years)
J554	chorion male embryo (38 weeks)
J555	trophoblast female embryo (40 weeks)
J556	myocyte originated from LHCN-M2
J557	MCF-7 genetically modified using CRISPR
J558	SK-MEL-5 cytosolic fraction
J559	HeLa-S3 treated with interferon alpha for 4 hours
J560	stomach female embryo (98 days)
J561	lung female embryo (20 weeks) and female embryo (24 weeks)
J562	heart female embryo (116 days) and female embryo (98 days)
J563	right lung female embryo (110 days)
J564	thyroid gland female embryo (37 weeks) and female embryo (40 weeks)
J565	placenta female embryo (101 day) and male embryo (105 days)
J566	MG63
J567	uterus female embryo (24 weeks) and female embryo (28 weeks)
J568	iPS-18c female adult (48 years)
J569	NCI-H460
J570	mammary stem cell
J571	SK-N-MC
J572	frontal cortex male adult (27 years) and male adult (35 years)
J573	NCI-H460 cytosolic fraction
J574	kidney epithelial cell male embryo (22 weeks) and male newborn
J575	myometrial cell female adult (34 years)
J576	HFF-Myc originated from foreskin fibroblast
J577	left lung female embryo (91 day)
J578	thoracic aorta male adult (54 years)
J579	natural killer cell male adult (21 year)
J580	renal cortex interstitium female embryo (89 days)
J581	B cell
J582	iPS-15b female adult (48 years)
J583	WI38 genetically modified using stable transfection originated from WI38
J584	renal cortex interstitium male embryo (113 days)
J585	right kidney female embryo (117 days)
J586	osteoblast female adult (56 years) and male adult (62 years)
J587	bronchial epithelial cell female treated with retinoic acid
J588	stomach male child (3 years)
J589	placenta male embryo (38 weeks)
J590	GM04503
J591	liver male adult (31 year)
J592	heart male embryo (91 day)
J593	regular cardiac myocyte female adult (51 year) and male adult (48 years)
J594	thymus male embryo (104 days)
J595	spleen male child (3 years)
J596	small intestine female embryo (108 days)
J597	liver embryo (59 days) and embryo (80 days)
J598	T-cell male adult (37 years)
J599	K562 nuclear fraction
J600	heart female embryo (19 weeks) and female embryo (28 weeks)
J601	spinal cord male embryo (105 days)
J602	adrenal gland male adult (37 years)
J603	caudate nucleus female adult (75 years)
J604	skeletal muscle tissue
J605	LHCN-M2
J606	muscle of trunk female embryo (115 days)
J607	esophagus muscularis mucosa male adult (54 years)
J608	middle frontal area 46 male adult (81 year)
J609	thyroid gland male adult (37 years)
J610	small intestine female embryo (105 days)
J611	C4-2B
J612	endothelial cell of coronary artery female adult (41 year) and male adult (77 years)
J613	airway epithelial cell
J614	neurosphere embryo (15 weeks) originated from cortex
J615	common myeloid progenitor, CD34-positive male adult (23 years)
J616	muscle of arm male embryo (105 days)
J617	suprapubic skin male adult (54 years)
J618	smooth muscle cell of bladder female adult (53 years) and male adult (62 years)
J619	large intestine male embryo (113 days)
J620	vein endothelial cell male adult (48 years) and male adult (52 years)
J621	pancreas male adult (54 years) and male adult (60 years)
J622	adrenal gland female embryo (113 days)
J623	epithelial cell of esophagus
J624	subcutaneous adipose tissue female adult (51 year)
J625	spleen embryo (112 days)
J626	CD8-positive, alpha-beta T cell male adult (29 years)
J627	urinary bladder female embryo (20 weeks) and female embryo (24 weeks)
J628	placenta female embryo (108 days)
J629	brain female embryo (117 days)
J630	CD8-positive, alpha-beta T cell male adult (37 years)
J631	spinal cord female embryo (115 days)
J632	regulatory T cell originated from blood cell
J633	HUES64
J634	muscle of back female embryo (105 days)
J635	Peyer's patch female adult (51 year)
J636	muscle of back male embryo (108 days)
J637	renal cortical epithelial cell
J638	medulloblastoma
J639	SK-N-DZ treated with dimethyl sulfoxide for 72 hours
J640	GM10248
J641	tibial nerve male adult (54 years)
J642	endothelial cell of umbilical vein cytosolic fraction male newborn
J643	A549 treated with 100 nM dexamethasone for 1 hour
J644	fibroblast of villous mesenchyme female newborn and male newborn
J645	GM12878 chromatin fraction
J646	epithelial cell of umbilical artery female newborn and male newborn
J647	thymus male embryo (127 days)
J648	astrocyte of the spinal cord
J649	LNCaP clone FGC
J650	kidney capillary endothelial cell female embryo (113 days)
J651	muscle of back male embryo (96 days)
J652	peripheral blood mononuclear cell male adult (27 years)
J653	hepatic stellate cell female adult (59 years)
J654	lung microvascular endothelial cell female
J655	prostate male adult (54 years)
J656	L1-S8
J657	camera-type eye female embryo (20 weeks) and female embryo (24 weeks)
J658	left renal pelvis male embryo (105 days)
J659	thymus female embryo (147 days)
J660	ecto neural progenitor cell originated from H9
J661	urinary bladder male child (3 years)
J662	spinal cord female embryo (87 days)
J663	right kidney female embryo (147 days)
J664	iPS-11a male adult (36 years)
J665	left renal cortex interstitium male embryo (120 days)
J666	K562 membrane fraction
J667	SJSA1
J668	H9 S1 phase genetically modified using stable transfection
J669	muscle of arm male embryo (113 days)
J670	amniotic epithelial cell
J671	mesangial cell female embryo (21 week)
J672	stomach female embryo (105 days)
J673	heart male embryo (120 days)
J674	mesangial cell NONE and female embryo (21 week)
J675	RPMI-7951
J676	common myeloid progenitor, CD34-positive male adult (42 years)
J677	Jurkat clone E61
J678	ascending aorta female adult (53 years)
J679	small intestine female embryo (120 days)
J680	luminal epithelial cell of mammary gland female adult (22 years)
J681	MCF 10A originated from MCF 10A treated with 1 μM afimoxifene for 36 hours
J682	left renal pelvis male embryo (120 days)
J683	heart left ventricle female embryo (136 days)
J684	spinal cord female embryo (59 days) and male embryo (72 days)
J685	neuroepithelial stem cell genetically modified using stable transfection originated from H9
J686	stomach female adult (30 years)
J687	thymus male embryo (113 days)
J688	MCF-7 originated from MCF-7
J689	keratinocyte cytosolic fraction female
J690	muscle of back female embryo (113 days)
J691	amnion female embryo (40 weeks)
J692	hematopoietic multipotent progenitor cell treated with interleukin-3 for 6 days, kit ligand for 6 days, hydrocortisone succinate for 6 days, erythropoietin for 6 days
J693	large intestine female embryo (98 days)
J694	K562 treated with 500 μM sodium butyrate for 72 hours
J695	Caki2
J696	skin fibroblast male embryo (97 days)
J697	temporal lobe female adult (75 years)
J698	brain female adult (66 years)
J699	A673
J700	large intestine female embryo (105 days)
J701	brain microvascular endothelial cell
J702	heart male embryo (105 days)
J703	HS-5
J704	stomach embryo (101 day)
J705	hematopoietic multipotent progenitor cell treated with interleukin-3 for 17 days, kit ligand for 17 days, hydrocortisone succinate for 17 days, erythropoietin for 17 days
J706	left kidney female embryo (98 days)
J707	sigmoid colon female adult (51 year)
J708	spinal cord female embryo (24 weeks) and male embryo (22 weeks)
J709	MCF 10A genetically modified using stable transfection treated with 1 μM afimoxifene for 4 hours
J710	A172
J711	renal cortex interstitium female embryo (96 days)
J712	dermis microvascular lymphatic vessel endothelial cell female adult (38 years) and female adult (64 years)
J713	aortic smooth muscle cell male adult (21 year) and male adult (54 years)
J714	RWPE2
J715	CD4-positive, alpha-beta memory T cell male adult (29 years)
J716	hair follicular keratinocyte male adult (55 years)
J717	Daoy
J718	AG04449
J719	lung embryo (112 days)
J720	AG09319
J721	CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin
J722	PFSK-1
J723	ELF-1
J724	stomach smooth muscle male adult (59 years)
J725	iPS-NIHi11 male adult (71 year) originated from AG20443
J726	lung embryo (67 days)
J727	small intestine male embryo (105 days)
J728	myotube NONE and originated from skeletal muscle myoblast
J729	common myeloid progenitor, CD34-positive female
